,ID,Comment
211,              Keizy Minette Regua            ,Boki looks like Kim Chiu 😍 HAYS YOU ARE THE BEST MUKBANGER 😫 I always watch your videos
212,              Apgan Anggara Septiana            ,"I've been waiting for your vlog, can't wait😊🤗indonesia🇮🇩💞"
213,              아에이오우            ,역시보키하면 튀김..ㅠㅠ
214,              Life Miracle Foods channel 探秘美食            ,"Yummy Foods , enjoy your delicious food! 💜"
215,              김해솔            ,아.... 겁나맛있겠네 진자............ 김튀김 위에 이것저것 올렸다가 와르르 떨군 거 귀엽닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 원테이크 얼른 보고싶음
216,"              Teacher Danna Lukman, MSE-ESOL            ","This looked VERY, VERY GOOD. I am fasting and I would love to eat everything there! 😉"
217,              ama ris            ,Just ate my dinner but it still makes me hungry
218,              예르뀨            ,먹으면서 찡그리는거 진짜 찐맛잇을때 짓는표정.. ㅋㅋㅋ
219,              Jennah Lopez            ,Craving for tempura rn.
220,              준면이귀여워            ,텐동 완전 푸짐하당 진짜 맛있어보임ㅠ
221,              Elmar Luna            ,I L💜💜💜💜💜💜💜💜ve you more than enough M🌙on Boki🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰
222,              내놔냥이            ,6:31 귀엽희
223,              농농            ,"와 텐동 클라쓰가,,"
224,              Jm Oliveros            ,You're the only one mukbanger I watch 'til the end. 😋😋 I love you boki. From PH. 🇵🇭
225,              혀니현            ,"와아 튀김 쌓여있는 거 대박이에유 ..🥴💛 텐동 위에 튀김 저렇게 잔뜩 쌓아두고 맥주랑 먹다가 느끼할 때 김치우동 한 입씩 먹고 싶다 ,,,,,💛🧡 복희님 조합천재 말해 모해,, ㅠ💛"
226,              Sylwia Koziuk Zrodlo            ,Pozdrawiam ♥️🙏👍👍👍
227,              Nailaarr            ,I've eat a lot and now suddenly get hungry bcs of this vid 😭😭😭
228,              길을잃었다            ,많은 먹방을 봐왔지만 소리에 있어선  이 분야 갑....bb
229,              Mishi            ,i loved the crispyness ❤︎
230,              함현빈            ,진짜 너무우우우이뻐어엉
231,              Xiara Manuel            ,That looks good!
232,              sanu            ,Love u so very much ❤️
233,              ARMY YUNA            ,Saraneè🥺💘
234,              Dede Wini            ,I like watching him eat heartily and eat without the thought of eating a lot of fat I hope you can reply to my comments I am from Indonesia I'm really heavy pen￼
235,              니냐뇨            ,진짜 메뉴선정 최고.....
236,              Ayano            ,天丼美味しそう💓💓💓
237,              님콩            ,예쁘다!!
238,              Aling Aling            ,Love you boki 😍
239,              Jinnie캘리뽀냐이여사            ,와~ 우동이랑 튀김 최고의 조합 😍😍👍🏻👍🏻👍🏻👍🏻
240,              뭘봐            ,언니 오늘 고정댓 왜캐 귀여웡ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
241,              möcä            ,天丼は…うな丼とかにもかかってる甘ダレかけて食べたいな…🥺
242,              Selena Cole            ,Your big bites are neat & satisfactory! 👍💕
243,              Cicilia Iawphniaw            ,So satisfying to watch 😌
244,              21세기            ,2:44 ㅠㅠㅠㅠ♡♡
245,              whfmdk            ,튀김 진짜 맛있겠다ㅠㅠㅠ
246,              Adrian Morris            ,"Hi Boki, I’d like you to try Salvadoran food. I think you would enjoy Pupusas, Sopas & Mango drinks etc."
247,              Hidayat Mendoud            ,As Always Love you from Algéria♥️🍓😘🌷
248,              si-nyaa n            ,ふりかけ多くない!?😘
249,              ESS1 M            ,문복희님 먹는모습이 너무예쁘시네요.
250,              김yoyo            ,하 튀김으로 입에 기름칠 좀 해주고 뜨끈하고 칼칼한 김치우동으로 입안 씻어내리면 진짜 행복하지..
251,              혤닌            ,이시간에 이런먹방은...감사해요 ㅠㅠ
252,              Kids Heart Home            ,Amazing as always 🌹🌹🌹
253,              Sexy Love            ,My favourite asmr vlogger 😘💜 keep safe unnie😇💜💜More vedios to upload 😚☺
254,              이규현            ,요즘에 복희님을 구독했는데요 소리 미친거같아요....잘기전에보면 너무 잠이 잘와요
255,              김혜지            ,김튀김 부서진 이후 계속 웃고계심ㅋㅋㅋㅋㅋㅋㅋㅋ그나저나 김치우동 너무 맛있겠다ㅠㅠ지금 비도 오는데 이런 날에 김치우동 딱...
256,              z z            ,튀김 좋아하지도 않는데 걍 미쳣다 다이어트 중인데 멘탈 튀겨진다
257,              Sanaz Aamina            ,I really love her smile.
258,              Houng Mary            ,Can you also show us how to make cuz it look so gooddddd
259,              강보람            ,참..😭👍
260,              미지            ,"튀김은 신발을 튀겨도 맛있을거라는데..,, 다 먹어보고 싶당🥺"
261,              سنيوريتا سنيوريتا            ,الصايم وجوعان يكعد بصفي ينتضر الاذان 💔🙂
262,              its pani            ,"looking forward to the latest video❤️❤️, warm greetings from Indonesia ❤️❤️"
263,              행복추구자            ,"Tonight, I knew that you came back: )Because this is my new account, I could not hear the news; )I subscribed you againAnd I hope your muckbang lasts for a long time to come.Lastly, I missed your muckbang so much; )"
264,              cris isip            ,My tummy ahh!!I love your vids i watch them everyday when im not hungry anyways<3
265,              최은혜            ,꿀조합 미치겠다ㅠ❤️오늘도 이쁘게 잘먹는다요❤️
266,              angie lee            ,You are officially eating already 😀
267,              lloyd ninian            ,I just started watching you  yesterday but damn im starting to be a fan of yours… ..you make me crave girl…… .
268,              Giatisak Lasom            ,เป็นยูทูปเบอร์คนหนึ่ง ที่กินยังไงก็ไม่อ้วน.
269,              Dutt van Erbse            ,🤗 Boki 🤗 you are sooo cute ❤ yummy dinner 😋😍🎵
270,              danse macabre            ,"조합 대박이쥬,, 느끼할수도 있는 텐동을 김치우동으로 승화시키는 맛잘알 조합ㅠㅠ 잘 봤습니당❣"
271,              Biyah8            ,i wish i could try all of the food you eat!
272,              Momina Zubair            ,너의 멋진 보키❤️
273,              Manisha Singh            ,After watching your videos I always feel hungry even I am full😂😂
274,              혠타콩            ,앜 오늘 튀김소리 미쳤다....ㅠ 맥주껴서 먹구 싶네요 🍺
275,              언니나다섯살이야            ,언니도 준며들엇구나...
276,              Frances Nicole Rabanillo            ,The food looks soooo goooood!!!
277,              실이TV            ,무희수 완전 귀여운 😭💙
278,              장태주            ,하 쉬발 보키야 존나 사랑한다
279,              민트맛탕            ,저 결국 튀김이랑 김치우동 시켰어요.....
280,              냠냠            ,메뉴선정이 진짜...
281,              Josette LeNández            ,Always a pleasure to watch your videos! Thank you.
282,              Sollah Amor Lifestyle            ,I so like it and made me real hungry and i really like the way you eat it though!..you're so amazing!
283,              ハーコブレイク            ,今日も美味しそう！
284,              CK DRAMA OST WORLD            ,💗💗💗💗💗
285,              찌미콩            ,"머야 진짜 미쳤다 가게 어딘지 너무 궁금합니다요,,,"
286,              memzie soup            ,bookkkiie❤️❤️❤️❤️❤️ i love u so much
287,              paarururu            ,I love the sounds!
288,              Vaishali Kshirsagar            ,I am a big fan for boki 😍
289,              Ewura Akua            ,Love the way you eat always leave here hungryHaven’t been here so early before watching from west Africa
290,              무지부부까리한데            ,언닝 오늘도 비쥬얼이 장난 아니시네요❤
291,              JEREMY IVANDER            ,love boki everyday
292,              suneesh mohanan            ,❤️❤️❤️
293,              Bts love            ,Love your ASMR Boki❤❤
294,              Mon Amoure            ,I love the way you eat❤️ so good to watch your videos.😍🤗 Filipino fan here🤗
295,              언니나다섯살이야            ,아악 계란 ㅠㅠㅠ 진짜 사랑스럽다
296,              Anut Tong            ,You so cute 🥺
297,              홍크Honk            ,와 오늘 소리 미쳤어요🤤🤤🤤
298,              Himanshu Arya            ,One of the best mukbang of yours. You are looking as pretty as always.
299,              MrRenegade2000            ,"I see Boki eat, I smile 😊. Me happy and hungry  😁"
300,              ki ko            ,진짜 메뉴선택이 너무 좋음
301,              ぴぴ。            ,和食💙💚💛💜❤💗💖
302,              Kuroneko ASMR            ,Amazing like always!! 😍
303,              Mimi Shamimi            ,You look so cute when you smile... 💖❤💖❤
304,              Chika            ,天丼食べたくなってきた🥺！ふりかけは新発想✨
305,              s kl            ,제목에 역대급 붙인거바 넘 맛잇엇나봐.... 나 낼 시험 마지막날이야 언니 ㅜㅜ 이거 보고 백점맞을게이이잉
306,              minnu anu            ,❤️
307,              ᄆᄆ            ,꾸덕한 아이스크림 퍼먹어주세요 ㅠ
308,              Kdiebeu Cijdwhwu            ,these help me with my appetite 😊❤️
309,              Lamar Thompson            ,"Everything   looks   so  yummy,  U  can  really  hear  the  crispness  and  the  crunchiness  of  it  all. I love  it  🤗😋"
310,              가나다라            ,튀김탑 떨구고 화들짝 놀라는거 넘 웃겨요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
311,              Ling Ling            ,Your food looks so Good❤
312,              와구와구 오동동 WaguWagu O Dong-Dong            ,The food looks delicious!!!!!
313,              lude Inter            ,꺄 텐동 ! 복히 오늘두 사랑해 ❤
314,              bunga angel jelita            ,Team notif from Indonesia 🤗
315,              조아라            ,ㅠㅜㅜ 어쩜 플레이팅 고수야
316,              ᄉᄒ            ,오늘 메뉴 초이스 너무 굳....ㅠㅠㅠ 진짜 느끼할때 김치우동 넘나 완벽한 조합ㅠㅠㅠㅠㅠ
